Alabama,4599030,4801,1.043915782
Alaska,670053,934,1.393919585
Arizona,6166318,5585,0.905726886
Arkansas,2810872,3237,1.151599931
California,36457549,42418,1.163490173
Colorado,4753377,5838,1.228179461
Connecticut,3504809,4714,1.3450091
Delaware,853476,921,1.07911646
District of Columbia,581530,1393,2.395405224
Florida,18089888,18148,1.003212402
Georgia,9363941,9402,1.004064421
Hawaii,1285498,1743,1.355894758
Idaho,1466465,1457,0.993545703
Illinois,12831970,16382,1.276655104
Indiana,6313520,7181,1.137400373
Iowa,2982085,2992,1.003324855
Kansas,2764075,3190,1.154093141
Kentucky,4206074,4629,1.10055125
Louisiana,4287768,5098,1.188963582
Maine,1321574,1876,1.419519452
Maryland,5615727,7877,1.4026679
Massachusetts,6437193,9809,1.523800824
Michigan,10095643,11432,1.132369677
Minnesota,5167101,8093,1.56625543
Mississippi,2910540,2548,0.875438922
Missouri,5842713,5812,0.994743367
Montana,944632,1181,1.250222309
Nebraska,1768331,2430,1.37417712
Nevada,2495529,2181,0.873962995
New Hampshire,1314895,1685,1.281471144
New Jersey,8724560,10814,1.239489441
New Mexico,1954599,2368,1.211501694
New York,19306183,28543,1.478438281
North Carolina,8856505,10221,1.154066982
North Dakota,635867,942,1.481441874
Ohio,11478006,13536,1.179298913
Oklahoma,3579212,3106,0.867788776
Oregon,3700758,4909,1.326485007
Pennsylvania,12440621,14864,1.194795662
Rhode Island,1067610,1524,1.427487566
South Carolina,4321249,5057,1.170263505
South Dakota,781919,982,1.255884561
Tennessee,6038803,7325,1.212988733
Texas,23507783,22454,0.955173017
Utah,2550063,2511,0.984681555
Vermont,623908,1126,1.804753265
Virginia,7642884,9508,1.244033012
Washington,6395798,8703,1.360737159
West Virginia,1818470,2081,1.144368618
Wisconsin,5556506,7457,1.342030405
Wyoming,515004,603,1.170864692
